Label,KPR,KPRW,DPR,DPRW,RWK,RWMK,PRR,SBTPR,TDPR,TDP,ODTP,ASPR,SR,STPR,TKPR,TKP,AKP,DPK,OKPR,ODPR,OA,OS,WAOK,ATPR,CPPR,LAP,WP1V1,TAPR,SPRL,SKPR,SKP,RWSKP,SMKR,SOKPR,UDPR,UKPR100,FTPR,FAPR,TOFPR
1,0.68,0.94,73.9,95.6,0.466,0.162,1.18,0.12,0.15,0.228,0.308,0.19,0.202,0.13,0.16,0.235,0.271,109,0.09,0.09,0.179,0.487,0.743,2.67,0.02,0.093,0.609,68,0.068,0,0.002,0.002,0,0,3.88,0.67,0.31,0.02,1.92
1,0.75,1.04,82.4,108.1,0.498,0.19,1.27,0.11,0.14,0.206,0.284,0.21,0.188,0.14,0.17,0.222,0.267,109,0.11,0.09,0.207,0.554,0.724,3.05,0.02,0.099,0.637,61,0.058,0,0.001,0.001,0,0,4.69,0.76,0.32,0.02,1.92
1,0.67,0.97,75.7,101.9,0.456,0.164,1.16,0.12,0.15,0.209,0.24,0.2,0.185,0.12,0.14,0.206,0.257,112,0.11,0.12,0.236,0.47,0.669,2.74,0.02,0.078,0.59,60,0.042,0,0.004,0.002,0.0007,0.0002,4.06,0.67,0.39,0.02,1.92
0,0.64,0.85,68.7,86.3,0.438,0.152,1.19,0.12,0.15,0.233,0.325,0.18,0.236,0.12,0.14,0.224,0.279,108,0.08,0.08,0.163,0.485,0.713,2.53,0.02,0.106,0.58,69,0.075,0.01,0.011,0.006,0.002,0.0007,3.79,0.9,0.53,0.03,1.92
1,0.67,0.9,71.3,90.9,0.454,0.161,1.18,0.1,0.12,0.196,0.28,0.16,0.218,0.11,0.14,0.215,0.268,107,0.08,0.07,0.152,0.517,0.726,2.55,0.03,0.12,0.658,69,0.078,0,0.007,0.004,0.0005,0.0002,3.93,0.66,0.66,0.03,1.92
1,0.66,0.89,74.8,95.6,0.449,0.161,1.13,0.12,0.14,0.211,0.253,0.21,0.22,0.11,0.13,0.198,0.261,114,0.12,0.13,0.246,0.483,0.727,2.86,0.02,0.084,0.582,64,0.057,0,0.003,0.002,0.0005,0.0003,5.13,0.66,0.34,0.02,1.93
0,0.62,0.86,69.1,90.9,0.428,0.145,0.96,0.12,0.16,0.233,0.291,0.19,0.203,0.08,0.11,0.174,0.262,111,0.12,0.14,0.263,0.456,0.703,2.47,0.009,0.069,0.51,69,0.079,0.02,0.027,0.014,0.002,0.003,3.32,0.58,0.66,0.02,1.93
1,0.75,1.07,79.5,106,0.493,0.187,1.33,0.1,0.13,0.191,0.278,0.18,0.178,0.16,0.18,0.242,0.269,106,0.1,0.09,0.187,0.533,0.714,2.79,0.03,0.108,0.463,67,0.067,0.01,0.01,0.005,0.002,0.0004,3.18,0.99,0.41,0.03,1.93
1,0.67,0.95,74,98.4,0.452,0.164,1.1,0.14,0.17,0.244,0.331,0.21,0.197,0.13,0.14,0.209,0.274,110,0.11,0.13,0.238,0.471,0.734,2.64,0.02,0.066,0.596,63,0.06,0,0.003,0.002,0.0004,0,5.68,0.84,0.57,0.03,1.93
0,0.6,0.84,72.6,95.1,0.42,0.137,1.03,0.1,0.14,0.199,0.236,0.22,0.205,0.08,0.11,0.177,0.234,120,0.11,0.14,0.245,0.445,0.736,2.64,0.01,0.093,0.5,60,0.041,0,0.006,0.004,0.0003,0.0003,3.22,0.48,0.78,0.05,1.93
1,0.67,0.97,73.7,100.1,0.455,0.163,1.06,0.12,0.16,0.236,0.31,0.19,0.191,0.1,0.12,0.176,0.238,110,0.13,0.13,0.253,0.498,0.76,2.6,0.01,0.065,0.588,64,0.089,0,0.005,0.003,0.0005,0,2.99,0.61,0.26,0.01,1.94
1,0.69,0.98,74.3,99.9,0.464,0.168,1.11,0.08,0.13,0.187,0.201,0.16,0.183,0.08,0.11,0.154,0.247,108,0.09,0.09,0.175,0.491,0.719,2.51,0.03,0.092,0.675,68,0.062,0.03,0.05,0.024,0.01,0.004,3.79,0.69,0.37,0.02,1.94
1,0.71,0.98,78.9,102.5,0.476,0.177,1.11,0.1,0.13,0.2,0.252,0.2,0.21,0.11,0.13,0.178,0.255,111,0.1,0.1,0.203,0.516,0.719,2.92,0.02,0.106,0.568,68,0.087,0.01,0.008,0.006,0.002,0,4.76,0.78,0.46,0.02,1.94
0,0.63,0.9,71,93.2,0.445,0.147,0.89,0.1,0.13,0.183,0.202,0.19,0.175,0.09,0.11,0.174,0.266,112,0.1,0.12,0.224,0.458,0.7,2.26,0.02,0.107,0.491,56,0.028,0.03,0.045,0.025,0.007,0.008,3.46,0.53,0.48,0.03,1.94
0,0.63,0.89,72.1,93.5,0.445,0.147,1.03,0.12,0.15,0.223,0.304,0.22,0.207,0.12,0.14,0.221,0.297,114,0.08,0.09,0.175,0.476,0.767,2.79,0.02,0.092,0.643,65,0.057,0,0.006,0.003,0.001,0.0002,3.93,0.69,0.71,0.05,1.94
1,0.74,0.95,77.4,96.5,0.499,0.182,1.15,0.08,0.1,0.161,0.163,0.16,0.219,0.1,0.14,0.191,0.261,105,0.1,0.08,0.179,0.575,0.752,2.58,0.03,0.132,0.593,72,0.107,0.02,0.023,0.013,0.005,0.004,3.22,0.45,0.34,0.02,1.95
1,0.68,0.96,74.7,98.7,0.457,0.167,1.17,0.1,0.15,0.215,0.279,0.17,0.193,0.09,0.12,0.173,0.237,109,0.12,0.13,0.243,0.479,0.713,2.52,0.02,0.085,0.528,64,0.071,0.01,0.01,0.006,0.0007,0.0004,4.33,0.67,0.34,0.02,1.95
1,0.74,1.07,82.4,113.3,0.48,0.185,1.09,0.11,0.16,0.22,0.248,0.21,0.179,0.11,0.14,0.196,0.236,112,0.12,0.12,0.244,0.504,0.742,2.83,0.02,0.079,0.593,60,0.045,0.01,0.01,0.005,0.001,0.0003,3.75,0.35,0.35,0.02,1.95
1,0.67,0.92,73,94.5,0.454,0.162,1.02,0.13,0.16,0.239,0.332,0.19,0.211,0.12,0.14,0.213,0.291,110,0.09,0.11,0.202,0.45,0.714,2.74,0.02,0.081,0.586,64,0.065,0,0.005,0.003,0.0004,0.0001,4.7,0.89,0.38,0.02,1.95
1,0.73,1,80.2,103.2,0.485,0.186,1.06,0.11,0.14,0.208,0.312,0.2,0.19,0.13,0.16,0.218,0.282,110,0.09,0.09,0.181,0.5,0.745,2.98,0.03,0.102,0.657,64,0.044,0,0.006,0.004,0.0004,0,3.73,0.54,0.57,0.04,1.95
1,0.71,1.01,78.8,105.7,0.484,0.17,1.09,0.14,0.18,0.248,0.305,0.23,0.168,0.12,0.14,0.2,0.276,111,0.13,0.13,0.257,0.504,0.749,2.81,0.01,0.067,0.617,58,0.036,0.03,0.044,0.023,0.008,0.007,5.49,0.84,0.37,0.02,1.96
0,0.67,0.94,73.6,96.5,0.457,0.162,1.1,0.11,0.15,0.215,0.284,0.18,0.195,0.11,0.13,0.195,0.264,109,0.1,0.1,0.201,0.484,0.731,2.62,0.02,0.086,0.635,64,0.048,0,0.003,0.002,0.0003,0.0001,4.71,0.9,0.37,0.02,1.96
1,0.73,1,78.7,103.9,0.488,0.186,1.15,0.11,0.14,0.208,0.254,0.19,0.18,0.11,0.13,0.181,0.268,108,0.11,0.11,0.227,0.501,0.697,2.84,0.01,0.075,0.678,69,0.071,0.02,0.024,0.015,0.004,0.003,4.46,0.91,0.37,0.02,1.96
1,0.73,0.99,79.6,103.3,0.482,0.183,1.32,0.09,0.12,0.187,0.241,0.21,0.186,0.1,0.14,0.185,0.267,109,0.12,0.1,0.216,0.535,0.775,2.62,0.02,0.106,0.662,66,0.063,0.05,0.069,0.033,0.01,0.008,4.78,0.8,0.38,0.02,1.96
0,0.66,0.89,74.2,94.4,0.455,0.158,1.09,0.11,0.15,0.213,0.242,0.2,0.202,0.1,0.14,0.213,0.259,113,0.08,0.1,0.179,0.466,0.677,2.76,0.03,0.101,0.702,61,0.049,0,0.007,0.002,0.0003,0,4.25,0.5,0.47,0.03,1.96
0,0.63,0.84,68.4,86.7,0.44,0.148,1.13,0.11,0.15,0.219,0.265,0.17,0.206,0.1,0.13,0.201,0.271,109,0.08,0.09,0.169,0.498,0.693,2.45,0.02,0.108,0.533,67,0.066,0,0.005,0.003,0.0007,0,4.46,0.81,0.52,0.03,1.96
0,0.63,0.88,73.9,95.6,0.445,0.148,1.01,0.13,0.17,0.234,0.302,0.22,0.204,0.11,0.13,0.205,0.253,117,0.1,0.12,0.218,0.463,0.733,2.83,0.01,0.08,0.483,60,0.059,0,0.004,0.003,0.0003,0.0004,5.11,0.63,0.7,0.04,1.96
1,0.74,0.98,72.8,93.6,0.498,0.18,1.34,0.1,0.13,0.203,0.23,0.13,0.192,0.14,0.18,0.239,0.287,99,0.09,0.07,0.156,0.577,0.684,2.11,0.03,0.124,0.644,66,0.106,0.19,0.259,0.139,0.05,0.04,2.32,0.53,0.65,0.05,1.96
1,0.73,1.01,75.6,98.4,0.493,0.178,1.4,0.11,0.13,0.199,0.278,0.16,0.193,0.13,0.16,0.212,0.264,103,0.11,0.07,0.181,0.593,0.764,2.39,0.02,0.102,0.515,68,0.103,0.12,0.158,0.095,0.03,0.03,3.61,0.71,0.37,0.03,1.97
1,0.73,1.01,83.8,108.2,0.489,0.179,1.2,0.11,0.15,0.218,0.254,0.25,0.199,0.12,0.16,0.215,0.27,114,0.12,0.12,0.241,0.517,0.746,3.18,0.02,0.087,0.639,60,0.057,0.01,0.007,0.004,0.0009,0.0005,7.4,1.08,0.53,0.03,1.97
0,0.58,0.8,66.9,86,0.415,0.132,1.02,0.11,0.15,0.224,0.281,0.19,0.235,0.1,0.12,0.201,0.282,115,0.07,0.09,0.164,0.428,0.773,2.66,0.02,0.09,0.629,70,0.075,0,0.003,0.001,0.0002,0,4.96,1.06,0.55,0.03,1.98
1,0.7,0.97,75.4,98.6,0.475,0.171,1.21,0.1,0.13,0.194,0.231,0.17,0.178,0.1,0.13,0.192,0.276,108,0.12,0.11,0.227,0.508,0.677,2.78,0.02,0.103,0.721,67,0.065,0.01,0.008,0.004,0.002,0,4.53,0.85,0.56,0.03,1.98
1,0.73,0.98,79.4,99.5,0.494,0.177,1.29,0.1,0.12,0.187,0.246,0.19,0.213,0.13,0.16,0.213,0.271,109,0.1,0.08,0.183,0.547,0.722,2.81,0.03,0.129,0.627,71,0.094,0.01,0.007,0.004,0.001,0.001,3.39,0.67,0.6,0.03,1.98
1,0.72,0.98,77.4,100.3,0.481,0.181,1.13,0.11,0.16,0.237,0.299,0.19,0.193,0.12,0.14,0.198,0.262,108,0.11,0.12,0.228,0.494,0.734,2.77,0.02,0.083,0.676,64,0.064,0.01,0.009,0.006,0.001,0.0004,3.53,0.52,0.49,0.04,1.98
1,0.72,1.01,80.6,107,0.483,0.176,1.15,0.12,0.17,0.231,0.288,0.23,0.184,0.11,0.13,0.184,0.257,112,0.13,0.13,0.261,0.484,0.68,3.07,0.02,0.062,0.565,62,0.047,0.01,0.014,0.009,0.001,0.001,4.19,0.7,0.51,0.03,1.99
0,0.64,0.9,70.9,93.2,0.444,0.149,1,0.1,0.14,0.204,0.268,0.18,0.203,0.09,0.13,0.198,0.259,111,0.08,0.09,0.165,0.473,0.704,2.66,0.02,0.109,0.661,63,0.073,0.01,0.012,0.005,0.0005,0,3.16,0.66,0.65,0.03,1.99
0,0.63,0.86,70.2,91.7,0.441,0.15,1.05,0.12,0.15,0.224,0.321,0.19,0.199,0.11,0.15,0.232,0.279,111,0.08,0.09,0.177,0.469,0.711,2.56,0.02,0.091,0.681,63,0.041,0,0.003,0.002,0.0003,0.0003,4.73,0.99,0.6,0.04,1.99
1,0.68,0.94,74.8,96.3,0.466,0.163,1.03,0.1,0.14,0.209,0.265,0.18,0.202,0.11,0.13,0.194,0.251,111,0.11,0.1,0.215,0.511,0.733,2.68,0.02,0.098,0.556,63,0.062,0,0.006,0.003,0.0007,0.0002,3.31,0.45,0.4,0.02,2
0,0.65,0.92,71.2,95.3,0.44,0.158,1.15,0.1,0.14,0.197,0.268,0.17,0.2,0.09,0.12,0.183,0.256,109,0.1,0.12,0.221,0.463,0.704,2.52,0.02,0.086,0.587,63,0.055,0.01,0.021,0.008,0.003,0.002,3.46,0.53,0.43,0.02,2
1,0.72,1.02,80.1,107.4,0.478,0.183,1.13,0.11,0.14,0.201,0.244,0.21,0.19,0.11,0.15,0.206,0.251,111,0.12,0.12,0.232,0.5,0.71,2.93,0.02,0.079,0.648,63,0.057,0.01,0.011,0.006,0.002,0.001,4.74,0.68,0.5,0.02,2
1,0.65,0.85,71.1,88.6,0.453,0.15,1.07,0.11,0.13,0.209,0.299,0.17,0.23,0.09,0.12,0.187,0.28,110,0.08,0.08,0.166,0.499,0.705,2.55,0.03,0.118,0.603,70,0.096,0,0.005,0.002,0.0009,0.0004,3.69,0.45,0.44,0.03,2
